Timestamp,Ax,Ay,Az,Rx,Ry,Rz
2025-07-11 17:46:20,-0.69,0.37,10.34,-0.01,-0.02,0.03
2025-07-11 17:46:20,-0.68,0.38,10.34,-0.01,-0.02,0.03
2025-07-11 17:46:20,-0.68,0.38,10.38,-0.02,-0.02,0.03
2025-07-11 17:46:20,-0.68,0.37,10.39,-0.02,-0.02,0.03
2025-07-11 17:46:20,-0.67,0.4,10.38,-0.02,-0.02,0.03
2025-07-11 17:46:20,-0.67,0.4,10.36,-0.02,-0.02,0.03
2025-07-11 17:46:20,-0.67,0.39,10.36,-0.02,-0.02,0.03
2025-07-11 17:46:20,-0.68,0.4,10.39,-0.02,-0.02,0.03
2025-07-11 17:46:20,-0.68,0.38,10.37,-0.02,-0.02,0.03
2025-07-11 17:46:20,-0.66,0.37,10.32,-0.02,-0.02,0.03
2025-07-11 17:46:20,-0.66,0.38,10.33,-0.02,-0.02,0.03
2025-07-11 17:46:20,-0.68,0.38,10.35,-0.02,-0.01,0.04
2025-07-11 17:46:20,-0.73,0.43,10.28,-0.02,-0.02,0.04
2025-07-11 17:46:20,-0.7,0.37,10.34,-0.01,-0.0,0.03
2025-07-11 17:46:20,-0.61,0.33,10.38,-0.01,-0.01,0.03
2025-07-11 17:46:20,-0.64,0.33,10.4,-0.01,-0.01,0.03
2025-07-11 17:46:21,-0.62,0.34,10.38,-0.01,-0.01,0.03
2025-07-11 17:46:21,-0.68,0.4,10.3,-0.01,-0.01,0.03
2025-07-11 17:46:21,-0.65,0.39,10.34,-0.02,-0.01,0.03
2025-07-11 17:46:21,-0.64,0.39,10.35,-0.02,-0.01,0.03
2025-07-11 17:46:21,-0.71,0.52,10.27,-0.04,-0.05,0.02
2025-07-11 17:46:21,-0.72,0.57,10.28,-0.05,-0.06,0.01
2025-07-11 17:46:21,-0.72,0.37,10.43,0.07,0.08,0.2
2025-07-11 17:46:21,-0.75,0.37,10.44,0.07,0.08,0.21
2025-07-11 17:46:21,-0.93,1.53,10.05,0.07,0.1,0.01
2025-07-11 17:46:21,-0.95,1.62,10.01,0.06,0.08,0.01
2025-07-11 17:46:21,-1.0,1.69,9.99,0.04,0.06,0.0
2025-07-11 17:46:21,-1.05,1.09,10.19,-0.0,-0.07,-0.02
2025-07-11 17:46:21,-1.09,1.02,10.22,-0.01,-0.08,-0.01
2025-07-11 17:46:21,-0.95,0.98,10.19,-0.06,-0.2,0.07
2025-07-11 17:46:21,-0.94,0.91,10.24,-0.07,-0.2,0.08
2025-07-11 17:46:21,-0.38,0.38,10.45,0.1,0.01,-0.1
2025-07-11 17:46:21,-0.38,0.4,10.42,0.1,0.01,-0.11
2025-07-11 17:46:21,-0.13,0.94,10.38,0.05,-0.06,-0.45
2025-07-11 17:46:22,-0.15,0.85,10.4,0.05,-0.06,-0.46
2025-07-11 17:46:22,-0.2,0.76,10.39,0.04,-0.05,-0.46
2025-07-11 17:46:22,-0.78,0.77,10.26,0.07,-0.03,-0.29
2025-07-11 17:46:22,-0.81,0.78,10.24,0.06,-0.03,-0.28
2025-07-11 17:46:22,-0.79,0.79,10.31,0.03,0.04,-0.09
2025-07-11 17:46:22,-0.81,0.84,10.3,0.02,0.05,-0.08
